system   D            wsystem.c:583  maybe_parent_dir                 [   0.00246] Also searching C:\Users\Mathias\Documents\Projects\PokemonBattleNetwork\
dtor     D               dtor.c:184  _al_register_destructor          [   0.07448] added dtor for object 02D31398, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07451] added dtor for object 02D32E20, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07455] added dtor for object 02D348A8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07459] added dtor for object 02D36330, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07463] added dtor for object 02D37DB8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07467] added dtor for object 02D39840, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07471] added dtor for object 02D3B2C8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07474] added dtor for object 02D3CD50, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07478] added dtor for object 02D09540, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07481] added dtor for object 02D404F8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07486] added dtor for object 02D1EEE8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07490] added dtor for object 02D43A78, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07493] added dtor for object 02D45500, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07497] added dtor for object 02D46F88, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07500] added dtor for object 02D48A10, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07504] added dtor for object 02D4A498, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07507] added dtor for object 02D4BF20, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07511] added dtor for object 02D4D9A8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07514] added dtor for object 02D4F430, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07518] added dtor for object 02D50EB8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07522] added dtor for object 02D52940, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07525] added dtor for object 02D543C8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07528] added dtor for object 02D55E50, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07532] added dtor for object 02D578D8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07536] added dtor for object 02D59360, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07539] added dtor for object 02D5ADE8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07543] added dtor for object 02D5C870, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07546] added dtor for object 02D5E2F8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07550] added dtor for object 02D5FD80, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07553] added dtor for object 02D61808, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07557] added dtor for object 02D63290, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07563] added dtor for object 02D64D18, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07567] added dtor for object 02D667A0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07571] added dtor for object 02D68228, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07576] added dtor for object 02D69CB0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07580] added dtor for object 02D6B738, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07584] added dtor for object 02D6D1C0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07588] added dtor for object 02D6EC48, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07592] added dtor for object 02D706D0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07596] added dtor for object 02D72158, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07599] added dtor for object 02D73BE0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07603] added dtor for object 02D41F80, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07607] added dtor for object 02D771B8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07611] added dtor for object 02D78C40, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07615] added dtor for object 02D7A6C8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07618] added dtor for object 02D7C150, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07622] added dtor for object 02D7DBD8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07627] added dtor for object 02D7F660, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07632] added dtor for object 02D810E8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07638] added dtor for object 02D82B70, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07644] added dtor for object 02D845F8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07649] added dtor for object 02D86080, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07654] added dtor for object 02D87B08, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07660] added dtor for object 02D89590, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07665] added dtor for object 02D8B018, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07671] added dtor for object 02D8CAA0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07675] added dtor for object 02D8E528, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07681] added dtor for object 02D8FFB0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07686] added dtor for object 02D91A38, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07691] added dtor for object 02D934C0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07697] added dtor for object 02D94F48, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07704] added dtor for object 02D969D0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07709] added dtor for object 02D98458, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07715] added dtor for object 02D99EE0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07725] added dtor for object 02D9B968, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07732] added dtor for object 02D9D3F0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07738] added dtor for object 02D9EE78, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07744] added dtor for object 02DA0900, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07748] added dtor for object 02DA2388, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07753] added dtor for object 02DA3E10, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07762] added dtor for object 02DA5898, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07769] added dtor for object 02DA7320, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07775] added dtor for object 02D3E7D8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07781] added dtor for object 02D3E920, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07789] added dtor for object 02D3EA68, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07794] added dtor for object 02DAE148, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07800] added dtor for object 02DAFBD0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07806] added dtor for object 02DB1658, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07811] added dtor for object 02DB30E0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07817] added dtor for object 02DB4B68, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07823] added dtor for object 02DB65F0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07828] added dtor for object 02DB8078, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07833] added dtor for object 02DB9B00, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07839] added dtor for object 02DBB588, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07844] added dtor for object 02DBD010, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07850] added dtor for object 02DBEA98, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07855] added dtor for object 02DC0520, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07872] added dtor for object 02DC1FA8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07881] added dtor for object 02D75668, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07888] added dtor for object 02DC5698, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07891] added dtor for object 02DC70C0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07895] added dtor for object 02DC8AE8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07899] added dtor for object 02DCA570, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07903] added dtor for object 02DCBFF8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07907] added dtor for object 02DCDA80, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07910] added dtor for object 02DCF508, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07915] added dtor for object 02DD0F90, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07919] added dtor for object 02DD2A18, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07922] added dtor for object 02DD44A0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07926] added dtor for object 02DD5F28, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07930] added dtor for object 02DD79B0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07934] added dtor for object 02DD9438, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07937] added dtor for object 02DDAEC0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07941] added dtor for object 02DDC948, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07944] added dtor for object 02DDE3D0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07949] added dtor for object 02DDFE58, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07960] added dtor for object 02DE19A8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07979] added dtor for object 02DE33D0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07985] added dtor for object 02DE4E58, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07991] added dtor for object 02DE68E0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.07996] added dtor for object 02DE8368, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08002] added dtor for object 02DE9DF0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08008] added dtor for object 02DEB878, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08014] added dtor for object 02DED300, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08019] added dtor for object 02DEED88, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08025] added dtor for object 02DF0810, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08033] added dtor for object 02DF2298, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08038] added dtor for object 02DF3D20, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08044] added dtor for object 02DF57A8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08049] added dtor for object 02DF7230, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08054] added dtor for object 02DF8CB8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08059] added dtor for object 02DFA740, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08065] added dtor for object 02DFC1C8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08071] added dtor for object 02DFDC50, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08077] added dtor for object 02DFF6D8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08083] added dtor for object 02E01160, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08088] added dtor for object 02E02BE8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08094] added dtor for object 02E04670, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08100] added dtor for object 02E060F8, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08104] added dtor for object 02E07B80, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08108] added dtor for object 02E09608, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08112] added dtor for object 02E0B090, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08115] added dtor for object 02E0CB18, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08119] added dtor for object 02E0E5A0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08124] added dtor for object 02E10028, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08128] added dtor for object 02E11AB0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08132] added dtor for object 02E13538, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08136] added dtor for object 02E14FC0, func 608827AC
dtor     D               dtor.c:184  _al_register_destructor          [   0.08617] added dtor for object 02E17B40, func 608827AC
bitmap   W          bitmap_io.c:212  al_load_bitmap                   [   1.18899] Bitmap  has no extension - not even trying to load it.
